Date & Time,use [kW],gen [kW],FurnaceHRV [kW],CellarOutlets [kW],WashingMachine [kW],FridgeRange [kW],DisposalDishwasher [kW],KitchenLights [kW],BedroomOutlets [kW],BedroomLights [kW],MasterOutlets [kW],MasterLights [kW],DuctHeaterHRV [kW],calculated_use,temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,time,windBearing,precipIntensity,dewPoint,precipProbability
2016-01-01 05:00:00,0.0,0.0,0.5604808335,0.062465,0.0014933335,0.0008786115,0.0003027775,8.2778e-05,0.014245278,0.004752778,0.015632222,0.0143069445,0.000119722,0.6747602785000002,34.98,clear-night,0.63,10.0,Clear,27.95,1016.8,8.95,,1451624400,275.0,0.0,23.79,0.0
2016-01-01 06:00:00,0.0,0.0,0.554706389,0.058068889,0.001488611,0.000875,0.0003122225,8.694400000000001e-05,0.0142455555,0.004742222,0.015561944000000001,0.0142322225,0.000121111,0.6644411105,34.82,partly-cloudy-night,0.64,9.88,Mostly Cloudy,27.36,1016.23,9.71,0.92,1451628000,273.0,0.0,23.76,0.0
2016-01-01 07:00:00,0.0,0.0,0.4411933335,0.058814722,0.001124167,0.000899167,0.00027833350000000003,7.4722e-05,0.014323889,0.004735556,0.0156130555,0.0142380555,0.000103611,0.551398612,34.07,clear-night,0.65,10.0,Clear,27.58,1016.02,7.65,,1451631600,273.0,0.0,23.6,0.0
2016-01-01 08:00:00,0.0,0.0,0.110714722,0.0579233335,0.00026,0.0009205554999999999,0.000253333,5.61115e-05,0.014134722,0.004661389,0.015380277500000001,0.014001389,6.8889e-05,0.21837472199999997,34.02,clear-night,0.67,9.93,Clear,28.55,1015.99,6.12,,1451635200,272.0,0.0,24.19,0.0
2016-01-01 09:00:00,0.0,0.0,0.0385780555,0.0556122225,3.7500000000000003e-05,0.0009858335,0.0001341665,1.97225e-05,0.011014722,0.005945832999999999,0.0126413885,0.014685,4.5833e-05,0.13970027699999998,34.0,partly-cloudy-night,0.68,10.0,Mostly Cloudy,27.42,1015.58,7.78,0.75,1451638800,260.0,0.0,24.48,0.0
2016-01-01 10:00:00,0.0,0.0,0.0277141665,0.0550686115,3.36115e-05,0.0009886115,0.00011750000000000001,1.3055499999999999e-05,0.007184167,0.010306944500000002,0.008276111,0.013919999999999998,5.25e-05,0.12367527899999999,33.92,clear-night,0.68,10.0,Clear,28.43,1015.41,6.11,,1451642400,269.0,0.0,24.55,0.0
2016-01-01 11:00:00,0.0,0.0,0.009465278,0.065322778,1.1944499999999999e-05,0.0010149999999999998,5.0278e-05,5.5555e-06,0.0071611109999999995,0.0045880555,0.008263056000000001,0.013779444500000002,3.19445e-05,0.10969444550000002,33.99,clear-night,0.68,10.0,Clear,27.9,1015.39,7.0,,1451646000,257.0,0.0,24.45,0.0
2016-01-01 12:00:00,0.0,0.0,0.066613889,0.066281389,5.16665e-05,0.0010330555,1.9722500000000003e-05,4.4444999999999995e-06,0.0072327780000000005,0.004613611,0.008396389,0.013866667,2.91665e-05,0.16814277849999998,33.85,partly-cloudy-night,0.68,10.0,Mostly Cloudy,27.41,1015.57,7.5,0.92,1451649600,269.0,0.0,24.42,0.0
2016-01-01 13:00:00,0.0,0.0,0.1261422225,0.0656936115,0.000142222,0.0022866665,9.999999999999999e-05,1.5833e-05,0.0071844445,0.0046405555,0.012192221999999999,0.0138588885,4.6667000000000006e-05,0.23230333300000003,33.89,clear-day,0.68,10.0,Clear,27.96,1015.29,6.73,,1451653200,260.0,0.0,24.4,0.0
2016-01-01 14:00:00,0.0,0.0,0.114875,0.068796111,0.00012472200000000002,0.0009905555,0.0001038885,1.8611000000000002e-05,0.0071755555,0.0046366665,0.014766389,0.013841111,4.33335e-05,0.2253719435,34.25,partly-cloudy-day,0.67,10.0,Partly Cloudy,28.85,1015.36,6.08,0.31,1451656800,275.0,0.0,24.36,0.0
2016-01-01 15:00:00,0.0,0.0,0.108601389,0.08022722199999999,0.00011972250000000001,0.0009719445,0.00015000000000000001,2.30555e-05,0.0071627775,0.0046286109999999995,0.0082377775,0.013891389,5.5833000000000006e-05,0.22406972150000004,34.64,cloudy,0.65,10.0,Overcast,29.71,1015.37,5.57,1.0,1451660400,244.0,0.0,24.28,0.0
2016-01-01 16:00:00,0.0,0.0,0.120668333,0.111971111,0.000441111,0.0010091664999999999,0.0002475,4.11115e-05,0.0092252775,0.004630833500000001,0.010238611,0.013832500000000001,7.9167e-05,0.27238472199999997,35.29,clear-day,0.64,10.0,Clear,29.8,1014.98,6.49,,1451664000,260.0,0.0,24.44,0.0
2016-01-01 17:00:00,0.0,0.0,0.0092438885,0.0603080555,0.000180278,0.0064544445,0.0002483335,3.8611e-05,0.009932222,0.010744722500000001,0.0109525,0.013853333499999999,7.80555e-05,0.12203444449999999,35.32,clear-day,0.63,10.0,Clear,30.01,1014.07,6.24,,1451667600,275.0,0.0,24.14,0.0
